method,universe,window_id,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,runtime_sec,daily_return_days,cvar95_loss,mdd_from_daily_returns,rebalance_turnover,cost_scenario,cost_rate,scenario_transaction_cost,scenario_net_return,scenario_annual_net_return
MOEAD,NASDAQ100,window_001,10,60,10,755,124,0.213235694585869,0.212235694585869,0.481147355160363,0.478667381029501,0.370211155233838,1.24555094148848,1.92099979743446,-0.249018055623026,1,0.001,11.4425982,124,0.04722476564148439,-0.24901805562302626,1.0,50bps,0.005,0.005,0.208235694585869,0.4687685927415213
MOEAD,NASDAQ100,window_002,10,59,10,755,126,0.240775875760502,0.239775875760502,0.53952477386924,0.537044222117719,0.26082952641543,1.78507280620871,2.80293506103854,-0.169559644457466,1,0.001,11.1499565,126,0.033751495174338175,-0.16955964445746663,0.3751113442643589,50bps,0.005,0.0018755567213217944,0.2389003190391802,0.5348740005153823
MOEAD,NASDAQ100,window_003,10,60,10,756,124,-0.463619076397166,-0.464619076397166,-0.718018912870362,-0.719086264266716,0.553580929964679,-2.0050659816236,-3.56687904591587,-0.47419463430125,1,0.001,10.8326668,124,0.07175015708726248,-0.4741946343012494,0.4367565352724625,50bps,0.005,0.0021837826763623125,-0.4658028590735283,-0.7203471189152986
MOEAD,NASDAQ100,window_004,10,60,10,756,125,-0.12829389405797,-0.12929389405797,-0.241795954193145,-0.243548435415671,0.372199245644091,-0.559714973443024,-0.977238167995489,-0.313915513210518,1,0.001,4.8469636,125,0.04538717781801344,-0.3139155132105187,0.7855008910371323,50bps,0.005,0.003927504455185662,-0.13222139851315567,-0.24866708299142093
MOEAD,NASDAQ100,window_005,10,60,10,755,123,0.327086616947825,0.326086616947825,0.785638846395096,0.782883233905105,0.269298288478018,2.28892146932112,3.5506353392307,-0.16582167230543,1,0.001,7.9466057,123,0.03441023473239204,-0.165821672305431,0.3880179125864895,50bps,0.005,0.0019400895629324475,0.3251465273848925,0.7802946980097349
MOEAD,NASDAQ100,window_006,10,60,10,753,125,0.190200123595369,0.189200123595369,0.420528338204618,0.418123227702016,0.202087679597024,1.83784137057815,3.01601380661202,-0.0830200161180599,1,0.001,3.6073373,125,0.023619240640805172,-0.08302001611805998,0.7706514711283468,50bps,0.005,0.003853257355641734,0.18634686623972727,0.4112721192421449
MOEAD,NASDAQ100,window_007,10,60,10,752,124,0.324707195283631,0.323707195283631,0.770839260349537,0.768123641203045,0.165351596490292,3.54180769745593,6.35031760572817,-0.0622248466436184,1,0.001,3.8061774,124,0.018111649641406085,-0.062224846643618714,0.3752576751211487,50bps,0.005,0.0018762883756057436,0.3228309069080253,0.7657457159678034
MOEAD,NASDAQ100,window_008,10,60,10,752,126,0.137390295907246,0.136390295907246,0.293656685223973,0.291382904632159,0.285936245513056,1.04253658935655,1.51162905979586,-0.136302669457597,1,0.001,3.7388622,126,0.040411208092160526,-0.1363026694575964,0.26825708272397736,50bps,0.005,0.0013412854136198868,0.1360490104936261,0.2906073542435468
MOEAD,NASDAQ100,window_009,10,59,10,752,122,0.224872375578559,0.223872375578559,0.520400937919249,0.517838112313156,0.380202585312704,1.28987788559098,1.70368838908848,-0.244182624490956,1,0.001,3.8263501,122,0.053510287152837184,-0.2441826244909555,0.4422416852580511,50bps,0.005,0.0022112084262902554,0.22266116715226875,0.5147369830628379
MOEAD,NASDAQ100,window_010,10,60,10,750,126,-0.0567948921696965,-0.0577948921696965,-0.110364124562826,-0.112249534778486,0.196171567965888,-0.498224877633238,-0.656947112286884,-0.138410859004072,1,0.001,3.8929259,126,0.029850045077056818,-0.1384108590040719,0.3977278899594655,50bps,0.005,0.0019886394497973274,-0.058783531619493824,-0.11411155964932751
