split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,3,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.0260919744185587,0.9909385271857347,0.0076572251246597315,0.9641666666666667,1.2762000814230992,3.05211782,100.0,1.0,1.0,1.7763568394002505e-17,2.1464311809419669e-16,1.7763568394002505e-17,2.1464311809419669e-16
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,3,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.035457625041929036,1.1094287066966935,0.009963117170949666,0.9441666666666667,1.2616494744185724,3.0462557700000006,100.0,1.0,1.0,1.731947918415244e-17,2.146431180941967e-16,1.731947918415244e-17,2.146431180941967e-16
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,5,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.017125544625091634,1.1197888210354834,0.005693447338803839,0.9808333333333334,0.9662531135407126,1.9639956800000002,100.0,1.0,1.0,2.316665378051159e-17,2.2204460492503104e-16,2.316665378051159e-17,2.2204460492503104e-16
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,5,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02108208485687708,1.1753932923586163,0.007927262020542492,0.9477777777777778,0.8603051165342356,1.9769668433333334,100.0,1.0,1.0,2.4943010619911858e-17,2.2204460492503104e-16,2.4943010619911858e-17,2.2204460492503104e-16
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06223742113271549,1.0601911638365484,0.013023524989476556,0.8574999999999998,1.2805800082635872,1.4996452533333333,100.0,1.0,1.0,5.97670061589876e-17,3.4046839421838136e-16,5.97670061589876e-17,3.4046839421838136e-16
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.03547922436290565,0.8592667243701366,0.025554072692965096,0.8894444444444446,1.1950094778891767,1.70084422,100.0,1.0,1.0,4.759156032226505e-17,2.7385501274087186e-16,4.759156032226505e-17,2.7385501274087186e-16
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,15,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.029875114410457062,0.993878166293529,0.03293978081821123,0.7958333333333335,1.023817162966038,1.3642766933333335,99.93333333333334,1.0,1.0,7.566358726260005e-17,4.144832625267252e-16,7.560618797697318e-17,4.144832625267252e-16
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,15,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.028754754462175135,1.0358458711639327,0.023841276066675403,0.8922222222222224,0.8606944751202251,1.3546292800000004,97.06666666666666,1.0,1.0,5.945749437313785e-17,2.997602166487923e-16,5.950795411990838e-17,2.997602166487923e-16
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,MetaDesigned_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02537714730068415,1.0400102451768398,0.01748406335739537,0.8286111111111111,1.1720511303839798,3.3860383166666663,100.0,1.0,1.0,2.1649348980190544e-17,2.2204460492503104e-16,2.1649348980190544e-17,2.2204460492503104e-16
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,MetaDesigned_ECMADE_MOO,30,theta_09,100.0,10000.0,"rng(run,'mcg16807')",run index,0.024032938385524883,0.9991034261890447,0.01838723659954323,0.8102777777777777,1.3076494378408905,5.989785693333334,100.0,1.0,1.0,2.0724163126336247e-17,2.146431180941967e-16,2.0724163126336247e-17,2.146431180941967e-16
